lat,lon,continent,n_rec,richness,label,label_code
-16.35,46.85,africa,102,13.737,good,2
13.45,-16.75,africa,141,11.033,moderate,1
0.05,32.45,africa,37,10.938,good,2
-24.95,31.55,africa,233,11.187,moderate,1
29.85,-7.25,africa,32,9.67,moderate,1
33.05,-7.25,africa,39,12.213,good,2
0.45,33.15,africa,10,8.0,bad,0
-1.55,10.55,africa,20,12.561,good,2
0.25,29.95,africa,100,8.267,bad,0
-19.05,48.45,africa,44,9.611,moderate,1
-3.35,39.95,africa,312,13.944,good,2
-23.95,28.35,africa,64,8.076,bad,0
10.85,19.75,africa,50,11.489,moderate,1
-0.95,36.65,africa,51,10.518,moderate,1
-24.65,31.55,africa,278,9.981,moderate,1
-12.45,15.15,africa,24,7.663,bad,0
-16.55,35.05,africa,48,16.042,good,2
0.85,30.05,africa,307,10.231,moderate,1
-3.35,29.35,africa,47,14.633,good,2
-0.35,37.35,africa,292,10.729,moderate,1
-22.95,29.65,africa,203,9.12,bad,0
-3.55,29.45,africa,13,9.65,moderate,1
-2.75,20.25,africa,190,10.232,moderate,1
-1.05,29.75,africa,362,10.13,moderate,1
-21.25,47.35,africa,69,12.197,moderate,1
-1.65,29.55,africa,12,8.636,bad,0
-3.15,29.55,africa,84,12.871,good,2
-14.75,26.35,africa,295,9.869,moderate,1
-0.55,34.45,africa,11,8.364,bad,0
0.35,30.05,africa,68,6.82,bad,0
-24.35,31.75,africa,22,10.481,moderate,1
0.25,34.85,africa,425,11.281,good,2
30.95,-6.85,africa,21,6.209,bad,0
6.25,-0.55,africa,264,10.267,moderate,1
9.05,7.45,africa,95,12.216,good,2
-21.25,47.45,africa,81,12.1,moderate,1
-14.25,33.45,africa,129,10.169,moderate,1
-21.45,32.05,africa,26,9.846,moderate,1
-22.25,28.95,africa,326,9.992,moderate,1
-3.25,39.95,africa,791,12.005,good,2
5.85,-7.35,africa,38,10.413,moderate,1
-18.75,48.45,africa,37,13.637,good,2
-28.35,32.45,africa,60,12.917,moderate,1
-3.15,40.15,africa,55,9.34,moderate,1
-4.45,35.45,africa,23,8.223,bad,0
13.15,17.25,africa,21,12.909,good,2
-3.15,37.25,africa,48,9.194,moderate,1
-3.25,35.65,africa,20,8.816,bad,0
-0.55,34.55,africa,32,8.802,bad,0
-12.45,31.25,africa,387,9.853,moderate,1
-15.25,28.45,africa,25,9.152,bad,0
9.25,-1.85,africa,93,11.567,good,2
12.95,-16.75,africa,77,13.864,good,2
-0.65,34.45,africa,29,8.924,bad,0
0.35,34.85,africa,75,9.367,moderate,1
-34.35,18.85,africa,62,8.728,bad,0
-7.75,38.25,africa,10,8.0,bad,0
30.35,-9.55,africa,17,10.442,moderate,1
-0.65,30.95,africa,57,10.074,moderate,1
13.35,-13.35,africa,121,18.0,good,2
-0.55,34.25,africa,61,13.191,good,2
5.65,-0.05,africa,37,9.688,moderate,1
-28.75,26.05,africa,52,7.874,bad,0
-0.65,34.55,africa,27,8.241,bad,0
5.25,-2.65,africa,258,9.813,moderate,1
-0.25,29.95,africa,36,12.408,good,2
13.35,-16.75,africa,67,9.558,moderate,1
31.15,-7.85,africa,42,7.691,bad,0
-4.75,12.35,africa,14,6.374,bad,0
-18.95,48.45,africa,151,13.903,good,2
