biome_name,n_recordings,n_complete_all40,n_complete_core11,n_zero_metrics,median_metrics_present,pct_complete_all40,pct_complete_core11,valid__Acoustic_Complexity_Index__main_value,valid__Acoustic_Complexity_Index__min,valid__Acoustic_Complexity_Index__max,valid__Acoustic_Complexity_Index__mean,valid__Acoustic_Complexity_Index__median,valid__Acoustic_Complexity_Index__std,valid__Acoustic_Complexity_Index__var,valid__Acoustic_Diversity_Index__main_value,valid__Acoustic_Evenness_Index__main_value,valid__Bio_acoustic_Index__main_value,valid__Normalized_Difference_Sound_Index__main_value,valid__RMS_energy__min,valid__RMS_energy__max,valid__RMS_energy__mean,valid__RMS_energy__median,valid__RMS_energy__std,valid__RMS_energy__var,valid__Spectral_centroid__min,valid__Spectral_centroid__max,valid__Spectral_centroid__mean,valid__Spectral_centroid__median,valid__Spectral_centroid__std,valid__Spectral_centroid__var,valid__Spectral_Entropy__main_value,valid__Temporal_Entropy__main_value,valid__ZCR__min,valid__ZCR__max,valid__ZCR__mean,valid__ZCR__median,valid__ZCR__std,valid__ZCR__var,valid__Wave_SNR__SNR,valid__Wave_SNR__Acoustic_activity,valid__Wave_SNR__Count_acoustic_events,valid__Wave_SNR__Average_duration,valid__NB_peaks__main_value,valid__Acoustic_Diversity_Index_NR__main_value,valid__Acoustic_Evenness_Index_NR__main_value,valid__Bio_acoustic_Index_NR__main_value,valid__Spectral_Entropy_NR__main_value
Temperate Broadleaf & Mixed Forests,313829,294830,295684,0,40.0,93.9,94.2,304120,305006,305006,305006,305006,305006,305006,313709,304890,304482,304324,305062,305062,305062,305062,305062,305062,304848,304847,304847,304848,304847,304847,304847,302658,313829,313829,313829,313829,313829,313829,305014,305062,305062,305062,313746,298194,298193,303970,304247
Tropical & Subtropical Moist Broadleaf Forests,141156,137316,137495,0,40.0,97.3,97.4,140045,140228,140228,140228,140228,140228,140228,141041,140115,140224,140222,140236,140236,140236,140236,140236,140236,140228,140228,140228,140228,140228,140228,140228,140192,141156,141156,141156,141156,141156,141156,140231,140236,140236,140236,141155,137599,137598,140165,140168
"Mediterranean Forests, Woodlands & Scrub",88836,75316,75473,0,40.0,84.8,85.0,78611,78771,78771,78771,78771,78771,78771,88801,78737,78705,78684,78788,78788,78788,78788,78788,78788,78745,78743,78743,78745,78743,78743,78743,77258,88836,88836,88836,88836,88836,88836,78770,78788,78788,78788,88814,77012,77013,78653,78695
"Tropical & Subtropical Grasslands, Savannas & Shrublands",41334,40395,40451,0,40.0,97.7,97.9,41210,41268,41268,41268,41268,41268,41268,41313,41247,41245,41240,41274,41274,41274,41274,41274,41274,41256,41256,41256,41256,41256,41256,41256,41196,41334,41334,41334,41334,41334,41334,41268,41274,41274,41274,41330,40533,40533,41232,41240
Deserts & Xeric Shrublands,29454,28664,28692,0,40.0,97.3,97.4,29304,29332,29332,29332,29332,29332,29332,29431,29309,29331,29331,29332,29332,29332,29332,29332,29332,29332,29332,29332,29332,29332,29332,29332,29303,29454,29454,29454,29454,29454,29454,29332,29332,29332,29332,29454,28737,28737,29313,29313
Temperate Conifer Forests,27391,26071,26119,0,40.0,95.2,95.4,26662,26708,26708,26708,26708,26708,26708,27384,26701,26696,26693,26715,26715,26715,26715,26715,26715,26703,26703,26703,26703,26703,26703,26703,26642,27391,27391,27391,27391,27391,27391,26708,26715,26715,26715,27390,26193,26193,26692,26696
Tropical & Subtropical Dry Broadleaf Forests,24706,24232,24257,0,40.0,98.1,98.2,24672,24697,24697,24697,24697,24697,24697,24686,24677,24697,24695,24699,24699,24699,24699,24699,24699,24697,24697,24697,24697,24697,24697,24697,24682,24706,24706,24706,24706,24706,24706,24697,24699,24699,24699,24706,24277,24277,24692,24694
Boreal Forests/Taiga,24450,23674,23774,0,40.0,96.8,97.2,24208,24308,24308,24308,24308,24308,24308,24445,24303,24301,24299,24308,24308,24308,24308,24308,24308,24304,24304,24304,24304,24304,24304,24304,24280,24450,24450,24450,24450,24450,24450,24308,24308,24308,24308,24449,23803,23803,24294,24297
"Temperate Grasslands, Savannas & Shrublands",17787,17332,17357,0,40.0,97.4,97.6,17722,17747,17747,17747,17747,17747,17747,17775,17735,17744,17743,17751,17751,17751,17751,17751,17751,17747,17747,17747,17747,17747,17747,17747,17731,17787,17787,17787,17787,17787,17787,17747,17751,17751,17751,17787,17377,17377,17745,17747
Montane Grasslands & Shrublands,9871,9655,9673,0,40.0,97.8,98.0,9853,9871,9871,9871,9871,9871,9871,9868,9866,9870,9870,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9867,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9871,9679,9678,9869,9870
Tropical & Subtropical Coniferous Forests,8694,8530,8549,0,40.0,98.1,98.3,8673,8692,8692,8692,8692,8692,8692,8693,8691,8692,8692,8693,8693,8693,8693,8693,8693,8692,8692,8692,8692,8692,8692,8692,8685,8694,8694,8694,8694,8694,8694,8692,8693,8693,8693,8694,8557,8557,8692,8692
Mangroves,5269,5092,5096,0,40.0,96.6,96.7,5200,5205,5205,5205,5205,5205,5205,5262,5198,5205,5205,5205,5205,5205,5205,5205,5205,5205,5205,5205,5205,5205,5205,5205,5200,5269,5269,5269,5269,5269,5269,5205,5205,5205,5205,5269,5101,5101,5204,5205
Tundra,4969,4837,4845,0,40.0,97.3,97.5,4958,4966,4966,4966,4966,4966,4966,4969,4966,4963,4963,4966,4966,4966,4966,4966,4966,4964,4964,4964,4964,4964,4964,4964,4948,4969,4969,4969,4969,4969,4969,4966,4966,4966,4966,4968,4863,4863,4960,4962
,4175,4034,4040,0,40.0,96.6,96.8,4159,4165,4165,4165,4165,4165,4165,4172,4163,4163,4162,4167,4167,4167,4167,4167,4167,4165,4165,4165,4165,4165,4165,4165,4156,4175,4175,4175,4175,4175,4175,4166,4167,4167,4167,4174,4050,4050,4162,4164
