biome_name,n_recordings,n_complete,n_usable,n_sentinel_zero,pct_usable
Temperate Broadleaf & Mixed Forests,313829,294830,294830,8803,93.9
Tropical & Subtropical Moist Broadleaf Forests,141156,137316,137316,925,97.3
"Mediterranean Forests, Woodlands & Scrub",88836,75316,75316,10053,84.8
"Tropical & Subtropical Grasslands, Savannas & Shrublands",41334,40395,40395,66,97.7
Deserts & Xeric Shrublands,29454,28664,28664,122,97.3
Temperate Conifer Forests,27391,26071,26071,683,95.2
Tropical & Subtropical Dry Broadleaf Forests,24706,24232,24232,9,98.1
Boreal Forests/Taiga,24450,23674,23674,142,96.8
"Temperate Grasslands, Savannas & Shrublands",17787,17332,17332,40,97.4
Montane Grasslands & Shrublands,9871,9655,9655,0,97.8
Tropical & Subtropical Coniferous Forests,8694,8530,8530,2,98.1
Mangroves,5269,5092,5092,64,96.6
Tundra,4969,4837,4837,3,97.3
,4175,4034,4034,9,96.6
Flooded Grasslands & Savannas,3727,3639,3639,1,97.6
