lat_cell,lon_cell,biome_name,n_recordings,n_biomes_in_cell
-56.0,-67.3,Temperate Broadleaf & Mixed Forests,2,1
-55.0,-67.7,Temperate Broadleaf & Mixed Forests,1,1
-55.0,-67.4,Temperate Broadleaf & Mixed Forests,12,1
-54.9,-68.6,Temperate Broadleaf & Mixed Forests,25,1
-54.9,-68.5,Temperate Broadleaf & Mixed Forests,1,1
-54.9,-68.4,Temperate Broadleaf & Mixed Forests,11,1
-54.9,-68.3,Temperate Broadleaf & Mixed Forests,1,1
-54.8,-68.1,Temperate Broadleaf & Mixed Forests,4,1
-54.8,-63.9,Temperate Broadleaf & Mixed Forests,4,1
-54.8,-35.9,Tundra,1,1
-54.7,-67.4,Temperate Broadleaf & Mixed Forests,3,1
-54.6,-67.4,Temperate Broadleaf & Mixed Forests,3,1
-54.6,-67.3,Temperate Broadleaf & Mixed Forests,1,1
-54.6,158.9,Tundra,7,1
-54.5,-70.4,Temperate Broadleaf & Mixed Forests,2,1
-54.2,-68.8,Temperate Broadleaf & Mixed Forests,4,1
-54.1,-37.3,Tundra,1,1
-53.8,-67.9,"Temperate Grasslands, Savannas & Shrublands",1,1
-53.8,-67.8,"Temperate Grasslands, Savannas & Shrublands",1,1
-53.7,-72.3,Temperate Broadleaf & Mixed Forests,11,1
-53.6,-69.6,Temperate Broadleaf & Mixed Forests,1,1
-53.5,-70.2,Temperate Broadleaf & Mixed Forests,2,1
-53.5,-69.4,"Temperate Grasslands, Savannas & Shrublands",16,1
-53.4,-70.4,Temperate Broadleaf & Mixed Forests,11,1
-53.4,-68.5,"Temperate Grasslands, Savannas & Shrublands",1,1
-53.3,-70.4,Temperate Broadleaf & Mixed Forests,4,1
-53.3,-70.3,Temperate Broadleaf & Mixed Forests,10,1
-53.2,-71.1,Temperate Broadleaf & Mixed Forests,5,1
-53.2,-71.0,Temperate Broadleaf & Mixed Forests,5,1
-53.2,-70.9,Temperate Broadleaf & Mixed Forests,1,1
-53.2,-70.4,Temperate Broadleaf & Mixed Forests,11,1
-53.0,-70.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-53.0,-70.1,"Temperate Grasslands, Savannas & Shrublands",3,1
-52.9,-69.4,"Temperate Grasslands, Savannas & Shrublands",1,1
-52.8,-71.1,Temperate Broadleaf & Mixed Forests,5,1
-52.8,-69.3,"Temperate Grasslands, Savannas & Shrublands",3,1
-52.7,-70.8,Temperate Broadleaf & Mixed Forests,2,1
-52.7,-69.5,"Temperate Grasslands, Savannas & Shrublands",13,1
-52.6,169.1,Tundra,9,1
-52.5,-70.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-52.5,-69.6,"Temperate Grasslands, Savannas & Shrublands",3,1
-52.5,-69.4,"Temperate Grasslands, Savannas & Shrublands",4,1
-52.2,-69.9,"Temperate Grasslands, Savannas & Shrublands",15,1
-52.1,-71.0,"Temperate Grasslands, Savannas & Shrublands",8,1
-51.9,-72.2,Temperate Broadleaf & Mixed Forests,3,1
-51.9,-59.0,"Temperate Grasslands, Savannas & Shrublands",2,1
-51.8,-72.6,Temperate Broadleaf & Mixed Forests,9,1
-51.7,-72.6,Temperate Broadleaf & Mixed Forests,6,1
-51.7,-69.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-51.7,-69.2,"Temperate Grasslands, Savannas & Shrublands",3,1
-51.6,-72.7,Temperate Broadleaf & Mixed Forests,37,1
-51.6,-72.6,Temperate Broadleaf & Mixed Forests,6,1
-51.3,-73.0,Temperate Broadleaf & Mixed Forests,1,1
-51.2,-73.2,Temperate Broadleaf & Mixed Forests,2,1
-51.2,-73.0,Temperate Broadleaf & Mixed Forests,3,1
-51.1,-73.0,Temperate Broadleaf & Mixed Forests,3,1
-51.1,-72.8,Temperate Broadleaf & Mixed Forests,2,1
-51.0,-72.9,Temperate Broadleaf & Mixed Forests,18,1
-51.0,-72.7,Temperate Broadleaf & Mixed Forests,1,1
-50.9,-72.4,"Temperate Grasslands, Savannas & Shrublands",6,1
-50.8,-72.5,"Temperate Grasslands, Savannas & Shrublands",19,1
-50.5,-73.1,Temperate Broadleaf & Mixed Forests,5,1
-50.5,-72.3,"Temperate Grasslands, Savannas & Shrublands",38,1
-50.5,166.2,Tundra,4,1
-50.5,166.3,Tundra,2,1
-50.4,-73.3,Temperate Broadleaf & Mixed Forests,1,1
-50.4,-72.3,"Temperate Grasslands, Savannas & Shrublands",28,1
-50.4,-72.0,"Temperate Grasslands, Savannas & Shrublands",1,1
-50.3,-72.0,"Temperate Grasslands, Savannas & Shrublands",1,1
-50.2,-73.0,Temperate Broadleaf & Mixed Forests,3,1
-50.2,-72.8,"Temperate Grasslands, Savannas & Shrublands",1,1
-50.0,-73.2,Temperate Broadleaf & Mixed Forests,6,1
-50.0,-72.9,"Temperate Grasslands, Savannas & Shrublands",12,1
-49.8,178.7,Tundra,1,1
-49.7,178.7,Tundra,1,1
-49.4,-73.0,Temperate Broadleaf & Mixed Forests,33,1
-49.4,-72.9,Temperate Broadleaf & Mixed Forests,12,1
-49.3,-73.0,Temperate Broadleaf & Mixed Forests,2,1
-49.3,-71.4,"Temperate Grasslands, Savannas & Shrublands",1,1
-49.2,-73.0,Temperate Broadleaf & Mixed Forests,3,1
-49.1,-73.0,Temperate Broadleaf & Mixed Forests,1,1
-49.1,-72.9,Temperate Broadleaf & Mixed Forests,2,1
-48.9,-71.9,"Temperate Grasslands, Savannas & Shrublands",3,1
-48.6,-71.6,"Temperate Grasslands, Savannas & Shrublands",2,1
