lat,lon,first_year,last_year,first_richness,last_richness,delta,direction
-16.35,46.85,2023,2024,8.64,10.55,1.92,up
13.45,-16.75,2023,2025,7.55,9.07,1.52,up
-24.95,31.55,2023,2025,11.25,10.16,-1.09,down
-3.35,39.95,2024,2025,9.98,16.8,6.82,up
10.85,19.75,2024,2025,10.43,12.59,2.16,up
-3.35,29.35,2024,2025,13.46,15.26,1.8,up
-0.35,37.35,2024,2025,10.88,7.0,-3.88,down
-2.75,20.25,2023,2025,11.29,8.03,-3.26,down
-3.15,29.55,2024,2025,8.93,12.72,3.79,up
0.25,34.85,2024,2025,10.63,8.74,-1.9,down
6.25,-0.55,2023,2024,8.43,9.45,1.02,up
-28.35,32.45,2023,2025,7.45,9.0,1.55,up
-3.15,37.25,2024,2025,7.31,9.38,2.08,up
9.25,-1.85,2023,2024,9.36,9.18,-0.19,flat
13.35,-13.35,2023,2024,10.88,7.71,-3.17,down
5.25,-2.65,2023,2024,9.38,9.72,0.34,flat
-2.65,38.35,2023,2024,14.6,12.91,-1.69,down
-24.95,31.65,2023,2024,12.07,10.58,-1.49,down
-0.75,36.45,2023,2024,9.2,9.0,-0.2,flat
0.45,30.35,2023,2025,10.0,9.45,-0.55,down
-33.95,18.45,2024,2025,12.04,9.49,-2.55,down
-12.45,27.65,2023,2024,7.0,8.0,1.0,up
-34.05,18.45,2024,2025,10.15,10.44,0.29,flat
-15.85,27.25,2024,2025,6.76,6.45,-0.3,flat
9.05,38.75,2023,2025,8.51,7.36,-1.15,down
-15.45,28.45,2024,2025,8.85,9.0,0.15,flat
-3.35,38.35,2023,2024,7.71,7.35,-0.36,flat
-1.55,35.35,2023,2024,7.53,3.82,-3.71,down
4.05,-52.65,2024,2025,9.42,7.28,-2.14,down
41.15,-73.85,2023,2025,13.1,8.0,-5.1,down
27.25,-82.45,2024,2025,12.79,12.33,-0.46,flat
-23.65,-45.75,2024,2025,33.24,22.78,-10.46,down
-23.65,-45.65,2024,2025,29.95,15.93,-14.02,down
3.65,-53.25,2023,2024,14.62,8.89,-5.73,down
-23.55,-45.85,2023,2024,10.84,27.61,16.77,up
-15.55,-47.75,2023,2025,30.89,27.42,-3.47,down
4.35,-52.35,2023,2025,12.31,13.25,0.95,up
0.15,-78.85,2023,2025,9.22,9.48,0.26,flat
-32.85,-60.65,2023,2025,33.72,30.05,-3.68,down
9.15,-79.75,2023,2025,9.95,22.38,12.43,up
5.05,-75.55,2023,2025,14.96,28.08,13.12,up
-0.05,-78.65,2023,2025,8.81,8.95,0.14,flat
17.15,-96.75,2023,2024,18.93,22.08,3.15,up
11.15,-74.05,2023,2025,5.62,10.25,4.63,up
-16.05,-50.25,2023,2024,15.63,18.38,2.75,up
0.15,-79.15,2023,2024,12.24,16.33,4.1,up
-16.05,-49.65,2023,2025,32.19,24.26,-7.93,down
4.45,-72.65,2024,2025,9.46,11.11,1.65,up
0.05,-78.85,2023,2025,10.77,12.0,1.23,up
-0.05,-78.75,2023,2025,16.45,12.3,-4.15,down
-25.65,-54.45,2023,2024,17.15,10.48,-6.68,down
-32.95,-60.75,2023,2025,23.14,27.68,4.54,up
0.05,-78.65,2023,2025,9.29,10.11,0.82,up
-18.95,-51.65,2023,2024,20.79,22.13,1.34,up
-8.65,-63.85,2023,2025,13.12,16.97,3.85,up
0.05,-78.75,2023,2024,15.2,10.72,-4.47,down
0.35,-79.65,2023,2024,32.48,28.69,-3.79,down
-0.55,-77.85,2023,2024,7.05,10.08,3.03,up
19.35,-97.05,2023,2024,12.0,15.55,3.55,up
1.75,-75.75,2023,2025,9.74,9.79,0.05,flat
-39.55,-62.45,2024,2025,9.82,9.56,-0.26,flat
4.95,-75.45,2023,2024,8.0,10.98,2.98,up
-16.55,-49.25,2023,2025,26.71,24.0,-2.72,down
-16.45,-49.35,2024,2025,20.17,21.78,1.61,up
-16.55,-49.35,2023,2024,31.26,18.56,-12.71,down
-6.05,-76.95,2023,2025,9.64,10.54,0.9,up
0.05,-78.55,2023,2025,9.25,6.82,-2.43,down
-14.65,-49.05,2023,2024,30.88,21.32,-9.56,down
47.65,-122.25,2023,2024,17.0,19.18,2.18,up
-22.35,-44.75,2023,2025,12.86,8.85,-4.01,down
4.35,-72.75,2024,2025,8.65,9.57,0.93,up
-0.05,-78.95,2023,2025,10.38,14.3,3.92,up
3.85,-76.85,2023,2024,8.52,8.38,-0.13,flat
31.35,-109.25,2023,2024,23.48,21.62,-1.86,down
15.45,-90.35,2023,2025,9.0,22.98,13.98,up
32.25,-110.85,2024,2025,16.22,14.76,-1.46,down
47.05,-70.75,2024,2025,5.97,8.9,2.93,up
32.65,-116.95,2023,2024,12.55,13.08,0.53,up
39.25,-84.75,2023,2025,22.59,26.6,4.01,up
34.15,-118.25,2023,2025,8.51,6.31,-2.2,down
10.35,-72.95,2024,2025,8.55,10.17,1.62,up
40.15,-75.05,2023,2025,9.72,11.39,1.67,up
41.65,-83.15,2023,2025,16.71,10.42,-6.29,down
46.15,-72.75,2024,2025,5.41,8.93,3.52,up
38.65,-78.45,2024,2025,15.25,6.88,-8.37,down
45.55,-73.15,2024,2025,3.98,8.39,4.41,up
42.05,-79.25,2023,2025,17.88,17.94,0.06,flat
17.15,-96.85,2023,2024,17.04,19.21,2.17,up
38.75,-78.35,2023,2024,15.81,18.06,2.25,up
38.55,-121.05,2023,2025,8.27,9.0,0.73,up
17.05,-96.65,2023,2025,12.59,17.3,4.71,up
17.05,-96.55,2024,2025,14.88,16.73,1.85,up
15.75,-96.15,2023,2024,12.5,19.83,7.34,up
4.45,-72.75,2024,2025,8.3,12.5,4.2,up
32.35,-110.85,2023,2025,17.06,11.96,-5.11,down
-19.15,-46.85,2024,2025,10.5,10.23,-0.27,flat
31.95,-109.15,2023,2024,23.98,22.03,-1.95,down
40.05,-75.15,2023,2025,3.69,7.7,4.01,up
9.55,-83.85,2024,2025,9.06,7.38,-1.68,down
19.25,-99.25,2023,2024,8.57,3.82,-4.75,down
-31.85,-58.25,2023,2024,12.51,12.2,-0.31,flat
17.05,-96.75,2023,2024,13.64,15.78,2.14,up
9.85,-84.65,2023,2024,8.0,8.01,0.01,flat
38.75,-78.45,2023,2024,8.01,10.34,2.33,up
-16.25,-67.85,2023,2024,10.24,8.69,-1.55,down
31.55,-109.55,2023,2024,19.91,22.65,2.74,up
40.85,-91.05,2023,2025,13.28,9.78,-3.51,down
45.75,-87.05,2023,2024,15.68,20.2,4.51,up
40.25,-105.25,2023,2024,15.6,14.59,-1.01,down
46.05,-74.15,2023,2025,11.45,10.0,-1.45,down
-15.85,-48.95,2024,2025,21.18,13.04,-8.14,down
-16.45,-51.15,2023,2025,18.54,19.46,0.92,up
45.65,-111.05,2024,2025,10.0,9.72,-0.28,flat
-27.35,-55.95,2024,2025,9.26,15.68,6.42,up
5.05,-75.45,2023,2025,12.51,19.74,7.23,up
-4.25,-79.25,2023,2024,8.38,6.64,-1.75,down
38.45,-122.05,2023,2025,7.54,8.68,1.15,up
-33.45,-70.65,2024,2025,8.4,8.29,-0.12,flat
38.65,-78.35,2023,2024,7.91,19.89,11.98,up
4.95,-52.35,2023,2025,9.27,6.98,-2.29,down
-4.45,-79.15,2023,2024,10.48,9.11,-1.37,down
10.45,-84.05,2023,2024,9.0,10.09,1.09,up
17.75,-96.35,2023,2025,11.0,17.17,6.17,up
19.15,-96.15,2023,2025,13.59,8.0,-5.59,down
-33.25,-70.75,2023,2024,7.21,12.0,4.79,up
-14.55,-40.25,2023,2025,31.07,16.96,-14.11,down
-9.05,-64.05,2023,2025,21.02,15.01,-6.01,down
-6.35,-47.15,2023,2024,21.6,19.25,-2.36,down
-11.75,-55.35,2023,2025,16.85,17.55,0.7,up
9.75,-84.65,2023,2024,8.0,8.68,0.68,up
17.35,-96.45,2024,2025,13.0,10.0,-3.0,down
18.75,108.85,2023,2025,12.98,8.79,-4.19,down
43.55,123.55,2023,2025,10.02,12.26,2.25,up
30.25,120.15,2024,2025,10.67,11.11,0.45,flat
19.35,109.65,2023,2025,20.06,9.13,-10.93,down
19.95,110.45,2023,2025,13.56,11.08,-2.48,down
31.15,121.45,2023,2025,12.82,10.94,-1.88,down
39.95,116.35,2024,2025,13.09,6.3,-6.79,down
31.05,110.95,2023,2025,13.04,8.96,-4.08,down
1.35,103.85,2023,2025,16.96,11.32,-5.64,down
