biome_name,n_recordings,Acoustic_Complexity_Index__main_value__mean,Acoustic_Complexity_Index__main_value__median,Bio_acoustic_Index__main_value__mean,Bio_acoustic_Index__main_value__median,Acoustic_Diversity_Index__main_value__mean,Acoustic_Diversity_Index__main_value__median,Acoustic_Evenness_Index__main_value__mean,Acoustic_Evenness_Index__main_value__median,Normalized_Difference_Sound_Index__main_value__mean,Normalized_Difference_Sound_Index__main_value__median,Spectral_Entropy__main_value__mean,Spectral_Entropy__main_value__median,Temporal_Entropy__main_value__mean,Temporal_Entropy__main_value__median,NB_peaks__main_value__mean,NB_peaks__main_value__median,Wave_SNR__SNR__mean,Wave_SNR__SNR__median,Spectral_centroid__mean__mean,Spectral_centroid__mean__median,ZCR__mean__mean,ZCR__mean__median,RMS_energy__mean__mean,RMS_energy__mean__median
Temperate Broadleaf & Mixed Forests,313829,2608.897774340065,990.9735698757675,9.984426448622873,8.607266698268962,1.8136857441503,1.94537538759312,0.2721193886634566,0.2572746045879139,0.5437423514677616,0.8284409492016258,0.8353402731987393,0.8389428753637679,0.9529878771171343,0.9617655908838829,3.70923613368776,3.0,32.37744772426792,33.07262939394694,5393.845310921314,5068.904204061426,0.17143518495714996,0.156839282773386,0.01290833407924797,0.00758691308021185
Tropical & Subtropical Moist Broadleaf Forests,141156,1444.5229685695558,976.3994177462632,10.708282861208303,8.72520790203821,1.8470993996451657,1.9697291786972253,0.2725092076321661,0.2347714519448314,0.6151554477698657,0.8785103173753619,0.826460779154754,0.836783723504372,0.9571024473823377,0.9650596968642703,4.30871028302221,4.0,37.445961529184586,40.24499439241852,5517.307366500535,5273.8663632067755,0.20152538672775747,0.1897031231487605,0.023377745573846455,0.01641274847365915
"Mediterranean Forests, Woodlands & Scrub",88836,3052.3198745295654,986.2335857108466,9.38793968778215,8.356529335530062,1.660564268084948,1.9399460555475547,0.2626001781608484,0.2321984298192878,0.6041010821183519,0.8507629265212191,0.8451003244883464,0.8554056379085708,0.9519485224044025,0.9618302747096148,3.454230188934177,3.0,35.64653216603349,37.85556028274416,5824.1352714918885,5393.507523990375,0.16420346491703758,0.1608743495567978,0.014382230734210846,0.00908311456130335
"Tropical & Subtropical Grasslands, Savannas & Shrublands",41334,1712.6879521391636,939.1379104135076,11.1059112741086,9.57762664690858,1.8330457321535678,1.937239050095636,0.2968808921867781,0.2741293262139694,0.6023124546305304,0.870441633253193,0.8123247550584208,0.8242821400201823,0.9493669182884131,0.9554357661018057,4.183643842245343,4.0,38.64929462271755,40.6562922713087,5022.967216697891,4751.2087875573925,0.1805005004999915,0.16826266975734738,0.020249809306620986,0.01427411970480865
Deserts & Xeric Shrublands,29454,1830.2011104431238,840.939151001945,10.098195472501098,9.191014741523778,1.8467366807076553,1.9543782163717247,0.27417157974452444,0.2525282824820019,0.6356538127572355,0.8657090574458457,0.8452485094594903,0.8485948719166978,0.9470665193560639,0.9563521376289512,4.164357981937937,3.0,35.30694595783278,37.47520109543581,5639.069184408449,5496.31063879074,0.21335507752055535,0.1818971751896559,0.012815527260280962,0.00718033221800565
Temperate Conifer Forests,27391,1881.1378862738693,1041.2254509215898,10.51004652318888,8.822519359780387,1.8161278576639692,1.9512562649114948,0.2721953206612308,0.2445276859331187,0.6418115905332903,0.8954152891186864,0.841462838915041,0.8478457751804971,0.9523255442301888,0.9610195060605048,3.5829499817451627,3.0,34.72154319723569,34.87622450301657,5596.548646365053,5258.694006675299,0.1823954864417955,0.168691846229187,0.016315157040639034,0.0105850988909929
Tropical & Subtropical Dry Broadleaf Forests,24706,1532.5934515627334,852.6002735043178,10.090284414704835,8.420765178461263,1.8930457110975167,1.997037127767384,0.2436798738206698,0.2075766065397644,0.6593753094253163,0.8770680861615501,0.8463345672544169,0.8551049930220672,0.9508774336798158,0.959107485417747,4.745284546264066,4.0,34.93801768059112,35.12498293389528,5696.698238884265,5672.389713191117,0.22140370050991037,0.20225116024995615,0.015451437981157438,0.0086118674656928
Boreal Forests/Taiga,24450,1761.9760296911804,985.9846692479214,10.503519473115496,9.58144887790745,1.8130106309557008,1.915428775134608,0.30190162694268774,0.2941608301741309,0.5649528778801568,0.8821418766311697,0.8117478714863055,0.8167406334929375,0.945766106967911,0.9541095031999524,3.477442840197963,3.0,38.548236292938945,41.840821381472225,4973.220011552121,4662.278333713835,0.16793543438472164,0.15335126067809757,0.01612662378596385,0.011110142719527299
"Temperate Grasslands, Savannas & Shrublands",17787,1703.4452105942578,1021.8503046969455,10.576144378405784,8.99661663762031,1.8535226586934486,1.9449087512870236,0.28356900822420367,0.2639584981205505,0.6294712768859445,0.8900706901810439,0.8363021089803937,0.8456479016033362,0.9485552443072454,0.9571706971750352,3.829594647776466,3.0,39.55427043498249,42.5099722009507,5624.242281046698,5319.166308450472,0.18463814023543115,0.1738066672139957,0.017471227246372307,0.0121824597481477
Montane Grasslands & Shrublands,9871,1561.131078933499,1027.8718738153173,11.825211495677273,10.632198710257907,1.7738223740670371,1.855890715778973,0.34591359397609084,0.3427570567569262,0.6443729954327888,0.9159683852567849,0.8100061196642041,0.8205935414563211,0.9391955714919521,0.945707693906635,3.568534089757877,3.0,40.93582845193937,43.72169389535371,5222.209596721623,4974.489725445808,0.17420124832045067,0.1640544800039315,0.021704506766018986,0.0146339494118337
