eco_name,n_recordings,n_complete_all40,n_complete_core11,n_zero_metrics,median_metrics_present,pct_complete_all40,pct_complete_core11,valid__Acoustic_Complexity_Index__main_value,valid__Acoustic_Complexity_Index__min,valid__Acoustic_Complexity_Index__max,valid__Acoustic_Complexity_Index__mean,valid__Acoustic_Complexity_Index__median,valid__Acoustic_Complexity_Index__std,valid__Acoustic_Complexity_Index__var,valid__Acoustic_Diversity_Index__main_value,valid__Acoustic_Evenness_Index__main_value,valid__Bio_acoustic_Index__main_value,valid__Normalized_Difference_Sound_Index__main_value,valid__RMS_energy__min,valid__RMS_energy__max,valid__RMS_energy__mean,valid__RMS_energy__median,valid__RMS_energy__std,valid__RMS_energy__var,valid__Spectral_centroid__min,valid__Spectral_centroid__max,valid__Spectral_centroid__mean,valid__Spectral_centroid__median,valid__Spectral_centroid__std,valid__Spectral_centroid__var,valid__Spectral_Entropy__main_value,valid__Temporal_Entropy__main_value,valid__ZCR__min,valid__ZCR__max,valid__ZCR__mean,valid__ZCR__median,valid__ZCR__std,valid__ZCR__var,valid__Wave_SNR__SNR,valid__Wave_SNR__Acoustic_activity,valid__Wave_SNR__Count_acoustic_events,valid__Wave_SNR__Average_duration,valid__NB_peaks__main_value,valid__Acoustic_Diversity_Index_NR__main_value,valid__Acoustic_Evenness_Index_NR__main_value,valid__Bio_acoustic_Index_NR__main_value,valid__Spectral_Entropy_NR__main_value
European Atlantic mixed forests,67509,62647,62756,0,40.0,92.8,93.0,64997,65107,65107,65107,65107,65107,65107,67493,65091,65064,65050,65117,65117,65117,65117,65117,65117,65088,65087,65087,65088,65087,65087,65087,64924,67509,67509,67509,67509,67509,67509,65107,65117,65117,65117,67491,63000,63001,64973,65003
Celtic broadleaf forests,57483,55898,55913,0,40.0,97.2,97.3,57239,57255,57255,57255,57255,57255,57255,57473,57245,57099,57053,57255,57255,57255,57255,57255,57255,57221,57221,57221,57221,57221,57221,57221,56760,57483,57483,57483,57483,57483,57483,57255,57255,57255,57255,57469,56397,56398,57004,57091
Western European broadleaf forests,39525,35207,35386,0,40.0,89.1,89.5,36738,36928,36928,36928,36928,36928,36928,39510,36912,36763,36716,36936,36936,36936,36936,36936,36936,36877,36877,36877,36877,36877,36877,36877,36074,39525,39525,39525,39525,39525,39525,36928,36936,36936,36936,39512,36251,36250,36664,36745
Central European mixed forests,28420,27362,27654,0,40.0,96.3,97.3,28046,28345,28345,28345,28345,28345,28345,28404,28329,28321,28314,28348,28348,28348,28348,28348,28348,28338,28338,28338,28338,28338,28338,28338,28186,28420,28420,28420,28420,28420,28420,28345,28348,28348,28348,28419,27820,27820,28293,28312
Sarmatic mixed forests,22784,21424,21504,0,40.0,94.0,94.4,22230,22318,22318,22318,22318,22318,22318,22772,22306,22245,22223,22320,22320,22320,22320,22320,22320,22289,22289,22289,22289,22289,22289,22289,22050,22784,22784,22784,22784,22784,22784,22318,22320,22320,22320,22765,21793,21793,22142,22164
Northeast Spain and Southern France Mediterranean forests,18274,16225,16249,0,40.0,88.8,88.9,16838,16862,16862,16862,16862,16862,16862,18270,16858,16855,16853,16874,16874,16874,16874,16874,16874,16857,16857,16857,16857,16857,16857,16857,16822,18274,18274,18274,18274,18274,18274,16862,16874,16874,16874,18272,16307,16307,16855,16858
Scandinavian and Russian taiga,17321,16735,16833,0,40.0,96.6,97.2,17087,17185,17185,17185,17185,17185,17185,17316,17180,17184,17184,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185,17171,17321,17321,17321,17321,17321,17321,17185,17185,17185,17185,17321,16849,16849,17181,17182
Southwest Iberian Mediterranean sclerophyllous and mixed forests,16498,15469,15476,0,40.0,93.8,93.8,16367,16374,16374,16374,16374,16374,16374,16496,16372,16371,16365,16374,16374,16374,16374,16374,16374,16373,16373,16373,16373,16373,16373,16373,15875,16498,16498,16498,16498,16498,16498,16374,16374,16374,16374,16498,15979,15979,16358,16367
Cantabrian mixed forests,12915,12430,12447,0,40.0,96.2,96.4,12737,12754,12754,12754,12754,12754,12754,12908,12748,12752,12752,12762,12762,12762,12762,12762,12762,12754,12754,12754,12754,12754,12754,12754,12745,12915,12915,12915,12915,12915,12915,12755,12762,12762,12762,12914,12478,12478,12743,12744
Iberian sclerophyllous and semi-deciduous forests,12796,11089,11091,0,40.0,86.7,86.7,12017,12019,12019,12019,12019,12019,12019,12794,12017,12003,11996,12019,12019,12019,12019,12019,12019,12015,12015,12015,12015,12015,12015,12015,11243,12796,12796,12796,12796,12796,12796,12019,12019,12019,12019,12795,11867,11867,11979,12000
