eco_name,n_recordings,Acoustic_Complexity_Index__main_value__mean,Acoustic_Complexity_Index__main_value__median,Bio_acoustic_Index__main_value__mean,Bio_acoustic_Index__main_value__median,Acoustic_Diversity_Index__main_value__mean,Acoustic_Diversity_Index__main_value__median,Acoustic_Evenness_Index__main_value__mean,Acoustic_Evenness_Index__main_value__median,Normalized_Difference_Sound_Index__main_value__mean,Normalized_Difference_Sound_Index__main_value__median,Spectral_Entropy__main_value__mean,Spectral_Entropy__main_value__median,Temporal_Entropy__main_value__mean,Temporal_Entropy__main_value__median,NB_peaks__main_value__mean,NB_peaks__main_value__median,Wave_SNR__SNR__mean,Wave_SNR__SNR__median,Spectral_centroid__mean__mean,Spectral_centroid__mean__median,ZCR__mean__mean,ZCR__mean__median,RMS_energy__mean__mean,RMS_energy__mean__median
European Atlantic mixed forests,67509,1610.205061365861,671.958281410077,9.274790467253085,7.803249078850107,1.826469373260679,1.992686287665789,0.23922209218624815,0.196786015744776,0.4793136312929769,0.7366914915846192,0.8356023296810197,0.8378921026552769,0.9572692623179198,0.967784971824523,3.780400349676253,3.0,28.210250580847685,27.463726935337995,5432.960234029928,4983.966314358537,0.1776567580781299,0.1580888116638795,0.013325392132962582,0.0082833722436214
Celtic broadleaf forests,57483,3446.507527905503,1403.527657521055,10.380461173388587,9.488109886087464,1.8403904639263053,1.9013736351835149,0.3021768060803918,0.3125333490513355,0.6323914828148133,0.9440542634174258,0.8342839328492834,0.8347207853579616,0.9444528265342436,0.9510896307721088,3.6205432494040264,3.0,31.604431487825902,32.854997813006634,5195.383212261141,5180.438462960452,0.15612591458520444,0.149391547191023,0.009014420070264347,0.004925361265204
Western European broadleaf forests,39525,4049.4725780163744,1247.616062423555,9.318715219072494,8.03882945527002,1.7230207399763655,1.9124416138961178,0.28532290964874135,0.27182090344629584,0.5571749221885204,0.8182796557676616,0.8449024260465859,0.8504856414854941,0.956938848302228,0.9650081696577388,3.4274650739015997,3.0,32.7609900336192,33.18456112880068,5919.729583891356,5379.4494431031135,0.18297992797167237,0.1669367009943181,0.012076586146721923,0.0072248608226171
Central European mixed forests,28420,2118.914887558793,909.5334355623957,10.75116435889005,8.989198887208682,1.8679617483850097,1.9579653058827637,0.27467155013945416,0.256476958230329,0.43752506518652445,0.7149520528056855,0.8306175359679279,0.8367710178364773,0.9470928563984288,0.9535724848316289,4.133642985326718,4.0,34.66943230877214,35.3364113757732,5124.883307034593,4946.821508872504,0.16752917746163284,0.15605847889320068,0.012472071564871415,0.0070068714178042005
Sarmatic mixed forests,22784,3393.3447254086486,1047.7786498143637,10.869804196533055,9.09427479209022,1.8220461787623659,1.9511599079398727,0.2709351361620858,0.25118708345306573,0.5079986070045551,0.785801219774216,0.8382328324992444,0.8421843892831828,0.952511171486704,0.9623142244250736,3.884911047660883,3.0,34.76668663322457,36.02185465775893,5342.97043286066,5110.847967484182,0.179563964556582,0.15907477565510425,0.013546512090010007,0.008010886763069
Northeast Spain and Southern France Mediterranean forests,18274,1464.575721020274,699.1622681506122,8.934339517181519,8.107160317936136,1.7505350828493913,1.9809911225640788,0.23915392931152848,0.19697362561391715,0.49963878665172207,0.7542291485137698,0.8333520236644868,0.8389017658098287,0.956584521577912,0.9674946257563327,3.635234238178634,3.0,28.738295390552114,27.799740308510273,5338.959646358055,4927.063449158073,0.15360313124108824,0.14453413950759564,0.014567723495811896,0.009010862713814651
Scandinavian and Russian taiga,17321,1717.2781412941035,995.5144348268992,10.955397302621604,10.129659825121632,1.7856162921867407,1.8844511386002587,0.320772923246975,0.31974854490610954,0.5644717823061703,0.8936050063760685,0.8016422591429747,0.8029323175773564,0.9416207768217799,0.9484327738250452,3.4052306448819354,3.0,40.84492516692554,44.54547372260848,4957.450088227048,4575.936980377416,0.1665113840100812,0.1506956808693516,0.016657677413727222,0.0119773627475151
Southwest Iberian Mediterranean sclerophyllous and mixed forests,16498,4456.196476008009,941.596692841139,8.176985242228465,7.608256026428761,1.912489195336608,2.022331222780589,0.21920529383678866,0.16962288453147495,0.5793839981281873,0.7798809582210685,0.8623666367602326,0.871749341312041,0.9622528459439066,0.9706730099234624,3.6363195538853192,3.0,36.86812953305263,39.742053990668225,5610.951101387755,5537.73804434559,0.1846198595485012,0.1773243113925374,0.013118993116367942,0.008731540041612501
Cantabrian mixed forests,12915,1583.696427099134,777.7847207415758,9.242203777390626,8.207050824399019,1.896962911154141,2.0194399191188785,0.22210278680805806,0.1719599804391982,0.5557706926187576,0.819464203151165,0.8401258208728225,0.8411307653866866,0.9599956739739306,0.9696804846599304,3.9276753910484747,3.0,31.467954910573475,31.909403143644717,5163.7603250161255,4748.362785203842,0.17837737636705567,0.1606267564122642,0.013082120171196305,0.0086148066844547
Iberian sclerophyllous and semi-deciduous forests,12796,5795.823840221341,1623.824094100993,9.59682269911941,9.06096476946392,1.7519464365348416,1.9380075240340497,0.27891146673165074,0.2595262306885793,0.6988613752717932,0.9120667569064775,0.8538370647507892,0.8688783143362442,0.9471999060800043,0.9558792296261976,3.5681125439624855,3.0,37.49332174642313,39.31886528851412,5869.708437522592,5577.087498004272,0.18505684908192682,0.18041000349671485,0.012594376718664854,0.0080976856304124
