urban_class,year,n_cell_years,n_recordings,n_scored_cells,median_S_rare10,mean_S_rare10,class_carried_forward
city,2015,408,2366,57,10.0,10.36,0
city,2016,425,2700,61,10.567,11.629,0
city,2017,498,2870,64,10.653,11.699,0
city,2018,530,4078,75,10.387,11.113,0
city,2019,598,6372,114,9.245,10.166,0
city,2020,693,12082,168,9.704,10.473,0
city,2021,685,9334,161,9.861,10.627,0
city,2022,626,8100,131,9.836,10.312,0
city,2023,490,5341,113,9.727,9.966,1
city,2024,463,7528,117,9.615,10.043,1
city,2025,453,9012,126,9.189,9.41,1
town,2015,104,893,18,10.808,11.254,0
town,2016,115,995,15,10.189,12.171,0
town,2017,127,1152,18,9.412,9.316,0
town,2018,141,769,20,7.582,7.912,0
town,2019,167,1277,26,9.891,10.096,0
town,2020,200,2262,41,9.405,9.991,0
town,2021,189,2806,41,8.772,9.417,0
town,2022,188,2081,37,9.066,9.818,0
town,2023,114,1362,29,8.852,9.833,1
town,2024,111,1396,31,8.832,9.457,1
town,2025,108,1693,23,10.849,11.413,1
rural,2015,5615,46425,967,9.641,10.954,0
rural,2016,5980,42584,937,10.0,11.199,0
rural,2017,6283,51049,1097,9.957,11.165,0
rural,2018,6101,46381,946,9.918,10.939,0
rural,2019,6989,56065,1141,9.684,10.512,0
rural,2020,6809,64148,1176,10.0,11.449,0
rural,2021,7254,71169,1356,10.183,11.273,0
rural,2022,7151,72965,1361,9.842,10.925,0
rural,2023,4460,47853,1019,9.862,11.184,1
rural,2024,4022,46478,949,9.626,10.912,1
rural,2025,3767,49217,897,9.325,10.387,1
